Culture Test ID,Culture Sample 1 Timestamp,Beach,Culture Sample 1 Reading,Culture Sample 2 Reading,Culture Reading Mean,Culture Note,Culture Sample Interval,Culture Sample 2 Timestamp,DNA Test ID,DNA Sample Timestamp,DNA Sample 1 Reading,DNA Sample 2 Reading,DNA Reading Mean,Latitude,Longitude,Location
107973,08/15/2013 12:00:00 AM,NA,231.0,248.0,239.3,,,,,,,,,,,
93598,08/27/2014 12:00:00 AM,NA,12.0,4.0,6.9,,,,,,,,,,,
108593,07/05/2012 12:00:00 AM,NA,2.0,2.0,2.0,,,,,,,,,,,
105618,07/02/2013 12:00:00 AM,NA,1.0,1.0,1.0,,,,,,,,,,,
98229,07/18/2006 12:00:00 AM,NA,104.6,86.0,94.8,,,,,,,,,,,
104762,07/03/2006 12:00:00 AM,NA,2.0,3.1,2.5,,,,,,,,,,,
92980,08/14/2014 12:00:00 AM,NA,67.0,58.0,62.3,,,,,,,,,,,
106097,07/23/2013 12:00:00 AM,NA,6.0,17.0,10.1,,,,,,,,,,,
97761,07/12/2006 12:00:00 AM,NA,19.9,19.9,19.9,,,,,,,,,,,
96646,07/19/2011 12:00:00 AM,NA,81.3,60.5,70.1,,,,,,,,,,,
106074,07/22/2013 12:00:00 AM,NA,1.0,1.0,1.0,,,,,,,,,,,
106726,06/27/2014 12:00:00 AM,NA,8.0,3.0,4.9,,,,,,,,,,,
103696,06/06/2006 12:00:00 AM,NA,1.0,1.0,1.0,,,,,,,,,,,
98000,08/10/2006 12:00:00 AM,NA,86.2,344.8,172.4,,,,,,,,,,,
97098,07/26/2012 12:00:00 AM,NA,240.0,231.0,235.5,,,,,,,,,,,
110480,07/09/2013 12:00:00 AM,NA,1.0,1.0,1.0,,,,,,,,,,,
108070,06/05/2014 12:00:00 AM,NA,2420.0,2420.0,2420.0,,,,,,,,,,,
107921,08/08/2013 12:00:00 AM,NA,64.0,51.0,57.1,,,,,,,,,,,
90296,06/29/2011 12:00:00 AM,NA,1.0,2.0,1.4,,,,,,,,,,,
108748,07/17/2012 12:00:00 AM,NA,68.9,49.5,58.4,,,,,,,,,,,
99912,05/14/2009 12:00:00 AM,NA,10.8,4.0,6.6,,,,,,,,,,,
95499,07/17/2014 12:00:00 AM,NA,14.0,4.0,7.5,,,,,,,,,,,
107274,06/29/2012 12:00:00 AM,NA,4.1,1.0,2.0,,,,,,,,,,,
103672,06/05/2006 12:00:00 AM,NA,2.0,3.0,2.4,,,,,,,,,,,
96917,08/29/2013 12:00:00 AM,NA,3.0,27.0,9.0,,,,,,,,,,,
97921,07/07/2006 12:00:00 AM,NA,40.2,51.2,45.4,,,,,,,,,,,
90186,06/24/2011 12:00:00 AM,NA,20.1,28.3,23.9,,,,,,,,,,,
107974,08/15/2013 12:00:00 AM,NA,2420.0,2420.0,2420.0,,,,,,,,,,,
